stateabb,ccode,year,irst,milex,milper,energy,tpop,upop,cinc,version
CUB,40,1985,401,1350000,297,15672,10098,3597,0.0032918,3.02
CUB,40,1986,412,1480000,297,16094,10199,3659,0.0032659,3.02
CUB,40,1987,402,1660000,297,16858,10301,3802,0.0032865,3.02
CUB,40,1988,321,2240000,297,18418,10412,3944,0.0033507,3.02
CUB,40,1989,314,1830000,297,18366,10523,4007,0.0033526,3.02
CUB,40,1990,270,1691000,297,16582,10624,4070,0.0032349,3.02
CUB,40,1991,270,1160000,297,15011,10744,4134,0.0032966,3.02
CUB,40,1992,200,-9,175,15271,10831,4168,0.0027834,3.02
CUB,40,1993,100,-9,175,12802,10904,4202,0.002742,3.02
CUB,40,1994,131,356,140,13295,10950,4313,0.0020724,3.02
CUB,40,1995,207,700000,70,13201,10980,4426,0.001729,3.02
CUB,40,1996,231,715000,70,14564,11019,4270,0.0017214,3.02
CUB,40,1997,342,720000,55,10015,11059,4384,0.0015875,3.02
CUB,40,1998,283,765000,55,9198,11116,4400,0.0015792,3.02
